Block ID,Block Height,Container ID,Num of Possible IDs,Index Appeared At,Possible Transaction Type,Source or Destination Chain,Chain Name,Exported Outputs or Imported Inputs
2Ck785htx7XtKBms1cfe6Pyo2fkkEmnyjVRPUzsgB8bbsteQBg,149991.000000,oz7Gjjwz3cgfNpjvJcuF8LPrGBjZUVitGtb5cG7u8AZjjhkcL,31,6,"""000000""",N/A,N/A,N/A
2pbhj5Xwtm3vVPemPe4EAHH8a4Z8j7RPnxDbcNJqBbTnU6SeYQ,149990.000000,2Ck785htx7XtKBms1cfe6Pyo2fkkEmnyjVRPUzsgB8bbsteQBg,15,6,"""000001""",N/A,N/A,N/A
JDcSyYb9Tnpd1Y3BSai8htvMfj6tcSCQN3CU3Z8Mma4oEagfW,149989.000000,2pbhj5Xwtm3vVPemPe4EAHH8a4Z8j7RPnxDbcNJqBbTnU6SeYQ,31,6,"""000000""",N/A,N/A,N/A
2BmDLXYMsxTv9evctVXjU5iwBbdoeEF7gmci4LSJ29HPLCayR7,149988.000000,JDcSyYb9Tnpd1Y3BSai8htvMfj6tcSCQN3CU3Z8Mma4oEagfW,15,6,"""000001""",N/A,N/A,N/A
1FKADgfgbVgTyExkVPD1jxTLmpysQQi6GWdEMHPaPYDKqBR62,149987.000000,2BmDLXYMsxTv9evctVXjU5iwBbdoeEF7gmci4LSJ29HPLCayR7,31,6,"""000000""",N/A,N/A,N/A
24sAyvx35kEfXKYhNkEmBeaAHpfoGA3JizPpXMnRMAzxyD1pVq,149986.000000,1FKADgfgbVgTyExkVPD1jxTLmpysQQi6GWdEMHPaPYDKqBR62,15,6,"""000001""",N/A,N/A,N/A
bsMqYW7UXYJueWUW27qksGypn9A3cEMBbGJryCusESwE7n3YQ,149985.000000,24sAyvx35kEfXKYhNkEmBeaAHpfoGA3JizPpXMnRMAzxyD1pVq,31,6,"""000000""",N/A,N/A,N/A
zJHWbvKGYX4cKhJX39wx4dPou2ikNzRJbmMmWPsq1U75dtAPb,149984.000000,bsMqYW7UXYJueWUW27qksGypn9A3cEMBbGJryCusESwE7n3YQ,15,6,"""000001""",N/A,N/A,N/A
2v99pWZ8NuGFPAqZDGo3chv3o1HqfwzDzB5jNjkvthWqqjCvfT,149983.000000,zJHWbvKGYX4cKhJX39wx4dPou2ikNzRJbmMmWPsq1U75dtAPb,31,6,"""000000""",N/A,N/A,N/A
KFFrTGNwUKZnioFp5mxdmTy5cCnoLFuaoaq8y4m8kenGqiDUZ,149982.000000,2v99pWZ8NuGFPAqZDGo3chv3o1HqfwzDzB5jNjkvthWqqjCvfT,15,6,"""000001""",N/A,N/A,N/A
2S5ffPyYbp6YYevanbbfufG6mmdBHVwo5Fzz3bEgcBVpp2jV6r,149981.000000,KFFrTGNwUKZnioFp5mxdmTy5cCnoLFuaoaq8y4m8kenGqiDUZ,31,6,"""000000""",N/A,N/A,N/A
iwvWRvWCdnKqM9ZUwb66Xfu7uajHSsqZu7iC5SuYgS2YspFs1,149980.000000,2S5ffPyYbp6YYevanbbfufG6mmdBHVwo5Fzz3bEgcBVpp2jV6r,15,6,"""000001""",N/A,N/A,N/A
ufjyMxANriFmxL45tkw4khLw1HzrAzPNf74H5pPBZWJsgjkP1,149979.000000,iwvWRvWCdnKqM9ZUwb66Xfu7uajHSsqZu7iC5SuYgS2YspFs1,31,6,"""000000""",N/A,N/A,N/A
2vjwJCsUrQzmxBechmUpdXfi6yeQBM41p9BjNSBPFZn19wV6cY,149978.000000,ufjyMxANriFmxL45tkw4khLw1HzrAzPNf74H5pPBZWJsgjkP1,15,6,"""000001""",N/A,N/A,N/A
sht48NuWBCDeoBbz4D2AZJpnzM1WW8sDZbMZakUCmWf9gVaXP,149977.000000,2vjwJCsUrQzmxBechmUpdXfi6yeQBM41p9BjNSBPFZn19wV6cY,31,6,"""000000""",N/A,N/A,N/A
AzurKrp88GRpd4k4PLpYejDD9KkrCBhEXFZsCcv3k9yYF2xBY,149976.000000,sht48NuWBCDeoBbz4D2AZJpnzM1WW8sDZbMZakUCmWf9gVaXP,15,6,"""000001""",N/A,N/A,N/A
2G28KiwJU7rkNWqMULNTfrpJhpW1Rk6vTXC3BK4vKzVVg3iDeh,149975.000000,AzurKrp88GRpd4k4PLpYejDD9KkrCBhEXFZsCcv3k9yYF2xBY,31,6,"""000000""",N/A,N/A,N/A
PtqRrb3fQezCfbqvBdkHeD1gojrHtbcXM89KVL9ecLrMh36FJ,149974.000000,2G28KiwJU7rkNWqMULNTfrpJhpW1Rk6vTXC3BK4vKzVVg3iDeh,15,6,"""000001""",N/A,N/A,N/A
NznzHyKLukdMRX7CzSLomrXnSRiS8mAJnPhj1X53qfCxvQbrx,149973.000000,PtqRrb3fQezCfbqvBdkHeD1gojrHtbcXM89KVL9ecLrMh36FJ,31,6,"""000000""",N/A,N/A,N/A
MC6v1ioCebrPZMqvEvvEKtnLsq1s67PqrT2DRqb2LAEJCqSSx,149972.000000,NznzHyKLukdMRX7CzSLomrXnSRiS8mAJnPhj1X53qfCxvQbrx,15,6,"""000001""",N/A,N/A,N/A
qi6MHiFDSeckbTC98NpV6BRDpXAdrUavCEReuSxGZTUGnkRfi,149971.000000,MC6v1ioCebrPZMqvEvvEKtnLsq1s67PqrT2DRqb2LAEJCqSSx,31,6,"""000000""",N/A,N/A,N/A
zgaQB7ubFj1bMucDVWu7jYfMVbGChfbhE5hp6yqwsRydHFjjM,149970.000000,qi6MHiFDSeckbTC98NpV6BRDpXAdrUavCEReuSxGZTUGnkRfi,15,6,"""000002""",N/A,N/A,N/A
2Ao2X14qwqGYdBr2WaaaSEpmqVBwjtgGp6tEChyPY9xzSuYK21,149969.000000,zgaQB7ubFj1bMucDVWu7jYfMVbGChfbhE5hp6yqwsRydHFjjM,55,6,"""000000""",N/A,N/A,N/A
2yjZqhWHyfvDiU97zueCoFmAz9MFmDBRC4L9QFL9rby8EizRv,149968.000000,2Ao2X14qwqGYdBr2WaaaSEpmqVBwjtgGp6tEChyPY9xzSuYK21,15,6,"""000002""",N/A,N/A,N/A
CRkT3ttGY7kZP33qRqY5BYuwEPaCBZ2v7qZwByVLLodM3wz7i,149967.000000,2yjZqhWHyfvDiU97zueCoFmAz9MFmDBRC4L9QFL9rby8EizRv,31,6,"""000000""",N/A,N/A,N/A
uZgEoUueTycahLe5v3VAzF1bYfmqzHAdREChApbKjsEWXehY4,149966.000000,CRkT3ttGY7kZP33qRqY5BYuwEPaCBZ2v7qZwByVLLodM3wz7i,15,6,"""000001""",N/A,N/A,N/A
yRJ6v72Fa4SYQTTribGrp2gaaAiMM2QcMReVkCiKeRJvDxsaB,149965.000000,uZgEoUueTycahLe5v3VAzF1bYfmqzHAdREChApbKjsEWXehY4,31,6,"""000000""",N/A,N/A,N/A
2nPEQQNRFgNVU2k6xzGp7gvjP1Z2Xjn9hVEushWNCY3EZ87vDZ,149964.000000,yRJ6v72Fa4SYQTTribGrp2gaaAiMM2QcMReVkCiKeRJvDxsaB,15,6,"""000001""",N/A,N/A,N/A
2TuBD2czs9pe5YyN1wVYoAFGzz7XKHmc5tVrGHJ7PY2E13cdR8,149963.000000,2nPEQQNRFgNVU2k6xzGp7gvjP1Z2Xjn9hVEushWNCY3EZ87vDZ,31,6,"""000000""",N/A,N/A,N/A
YT4BYXgkDWuwDjmh1SY25zJfTD8Ntpehpaa5DKWF4d5cHLBWd,149962.000000,2TuBD2czs9pe5YyN1wVYoAFGzz7XKHmc5tVrGHJ7PY2E13cdR8,15,6,"""000001""",N/A,N/A,N/A
VjeSzkK6TtCYvsJnor8x9ZEDn3GmG21JTvMdDM7GPhRY6PvKk,149961.000000,YT4BYXgkDWuwDjmh1SY25zJfTD8Ntpehpaa5DKWF4d5cHLBWd,31,6,"""000000""",N/A,N/A,N/A
97b7hFTm9rHHvGZ2K1BkQqJALkz4VRzcsRKB476jMHbzcMSgE,149960.000000,VjeSzkK6TtCYvsJnor8x9ZEDn3GmG21JTvMdDM7GPhRY6PvKk,15,6,"""000001""",N/A,N/A,N/A
2XuRrFiGeiUXrvKZ4ZpEksTy9seNwmyKQxx8JXvSt5adhod9dK,149959.000000,97b7hFTm9rHHvGZ2K1BkQqJALkz4VRzcsRKB476jMHbzcMSgE,31,6,"""000000""",N/A,N/A,N/A
2YStQ2V79WRe8FbCt4s1QM812wSxkQnChLiyPGy8zLyHVjwo1C,149958.000000,2XuRrFiGeiUXrvKZ4ZpEksTy9seNwmyKQxx8JXvSt5adhod9dK,15,6,"""000001""",N/A,N/A,N/A
9UCawJEi63rtCuoopwiujAz8riHrnALc6mR4qidVk4WiucL4H,149957.000000,2YStQ2V79WRe8FbCt4s1QM812wSxkQnChLiyPGy8zLyHVjwo1C,31,6,"""000000""",N/A,N/A,N/A
2NfZ5znPdpqu4aykNCpUPuEbrwEoJ7af3w8gbGNepD3xVbVHuo,149956.000000,9UCawJEi63rtCuoopwiujAz8riHrnALc6mR4qidVk4WiucL4H,15,6,"""000001""",N/A,N/A,N/A
2CKkirSDK7oJ7RQwi6chu737BEPDS6aSQNcCPgAumLWzLRzSY5,149955.000000,2NfZ5znPdpqu4aykNCpUPuEbrwEoJ7af3w8gbGNepD3xVbVHuo,31,6,"""000000""",N/A,N/A,N/A
hZTf1LcC79o8bikPXiEPUn4fvx6sYSwAie92Zwhq3oGak982p,149954.000000,2CKkirSDK7oJ7RQwi6chu737BEPDS6aSQNcCPgAumLWzLRzSY5,15,6,"""000001""",N/A,N/A,N/A
jwme1mtF27Xpm9dztvEua8Vz52VqrwkUTwc4UJNyoRMZyuFFY,149953.000000,hZTf1LcC79o8bikPXiEPUn4fvx6sYSwAie92Zwhq3oGak982p,31,6,"""000000""",N/A,N/A,N/A
2QU1Mdhf339iRzipC875nnRE8qFGpBa3afqRbuK4JhBd2tU3Kp,149952.000000,jwme1mtF27Xpm9dztvEua8Vz52VqrwkUTwc4UJNyoRMZyuFFY,15,6,"""000001""",N/A,N/A,N/A
7rGwVBRY3BU4fAaKEKBiToXaJ2UhqXSSTYioFegDuurcogYzT,149951.000000,2QU1Mdhf339iRzipC875nnRE8qFGpBa3afqRbuK4JhBd2tU3Kp,31,6,"""000000""",N/A,N/A,N/A
VXQtwD9RSHGwxx4MU1iTY5e47UfJTwWk8aSci12z6avNYEzkb,149950.000000,7rGwVBRY3BU4fAaKEKBiToXaJ2UhqXSSTYioFegDuurcogYzT,15,6,"""000001""",N/A,N/A,N/A
1NB3mayYDa2WpoGXFvjgZH5C6heYHMsrmoV5s61Zb1iLKf6ge,149949.000000,VXQtwD9RSHGwxx4MU1iTY5e47UfJTwWk8aSci12z6avNYEzkb,31,6,"""000000""",N/A,N/A,N/A
2QjQzZ3ojmyKBMZgP4SxcZqDBcSHuQrXUdc7e7NVDTxRE4b5cj,149948.000000,1NB3mayYDa2WpoGXFvjgZH5C6heYHMsrmoV5s61Zb1iLKf6ge,15,6,"""000001""",N/A,N/A,N/A
K76gTK9jGHwUhTMGMdgKSXjrUA3aP2cQJJTafDxuqNbj4sQXV,149947.000000,2QjQzZ3ojmyKBMZgP4SxcZqDBcSHuQrXUdc7e7NVDTxRE4b5cj,31,6,"""000000""",N/A,N/A,N/A
tsQHkdqieBNQaY4kL11pGNDEYaMwNssuxVtw4bsHdSYiekDDz,149946.000000,K76gTK9jGHwUhTMGMdgKSXjrUA3aP2cQJJTafDxuqNbj4sQXV,15,6,"""000001""",N/A,N/A,N/A
kqHGNkpmaUEqqzg8tMY3UMWeBe8cv7YKDrxUs4VEDDStuCgy6,149945.000000,tsQHkdqieBNQaY4kL11pGNDEYaMwNssuxVtw4bsHdSYiekDDz,31,6,"""000000""",N/A,N/A,N/A
9vQRwtt8v4Nw1vX8jP2yv95pxtGUuoqGDeH53zCgwokANbgWU,149944.000000,kqHGNkpmaUEqqzg8tMY3UMWeBe8cv7YKDrxUs4VEDDStuCgy6,15,6,"""000001""",N/A,N/A,N/A
sFTTHosLUfo6HQbLHBc2EtJ1wEczjXUEpBWNDY4uwbL1nfbFS,149943.000000,9vQRwtt8v4Nw1vX8jP2yv95pxtGUuoqGDeH53zCgwokANbgWU,31,6,"""000000""",N/A,N/A,N/A
2YgMtoxQcPArFjGV6sFAHB3piorLaGAQJrXBQftFKVxpmTK8eH,149942.000000,sFTTHosLUfo6HQbLHBc2EtJ1wEczjXUEpBWNDY4uwbL1nfbFS,15,6,"""000001""",N/A,N/A,N/A
2T2kvC8p5YfKDY3z35HSNiuRnR5mp5RFrcLiTynd6PMWBoq33f,149941.000000,2YgMtoxQcPArFjGV6sFAHB3piorLaGAQJrXBQftFKVxpmTK8eH,31,6,"""000000""",N/A,N/A,N/A
28Nuhxbp7whp58PVndugSmGpRxzfJhZ1U8LpTin9CfcX8ytAdP,149940.000000,2T2kvC8p5YfKDY3z35HSNiuRnR5mp5RFrcLiTynd6PMWBoq33f,15,6,"""000001""",N/A,N/A,N/A
r3M7NKeQieQET32NLC7yZZdKvPcHujumbzv3ircvXCWZhpsCs,149939.000000,28Nuhxbp7whp58PVndugSmGpRxzfJhZ1U8LpTin9CfcX8ytAdP,31,6,"""000000""",N/A,N/A,N/A
286zqtWrdhkYWsEAzf6PDHhyykc5EG7UpkyDmD4MbRxkEPB14Q,149938.000000,r3M7NKeQieQET32NLC7yZZdKvPcHujumbzv3ircvXCWZhpsCs,15,6,"""000001""",N/A,N/A,N/A
2jmcQP382CmfAg8giVE5TwWofaNavrsFbLFyBGfitXxKYPHZKs,149937.000000,286zqtWrdhkYWsEAzf6PDHhyykc5EG7UpkyDmD4MbRxkEPB14Q,31,6,"""000000""",N/A,N/A,N/A
2u2vtQmgAGs796bCpLBApDF4dfAZYNuc9G7vuDxjcT8afHTf7v,149936.000000,2jmcQP382CmfAg8giVE5TwWofaNavrsFbLFyBGfitXxKYPHZKs,15,6,"""000001""",N/A,N/A,N/A
23oZr4KoB6D7z9Q2u2Smvc6SPLhQbCQZiiFgh4fr2eZNzpe2JB,149935.000000,2u2vtQmgAGs796bCpLBApDF4dfAZYNuc9G7vuDxjcT8afHTf7v,31,6,"""000000""",N/A,N/A,N/A
3RcDnLuVbMWrV7Qr61FQmV9aCXeR4pq3hcjtQoj7vmzKjugzg,149934.000000,23oZr4KoB6D7z9Q2u2Smvc6SPLhQbCQZiiFgh4fr2eZNzpe2JB,15,6,"""000001""",N/A,N/A,N/A
QWAmF8gcSVF1KETMEftp3PN74ZtwXtN3gkzbABNayCoyvMpzB,149933.000000,3RcDnLuVbMWrV7Qr61FQmV9aCXeR4pq3hcjtQoj7vmzKjugzg,31,6,"""000000""",N/A,N/A,N/A
25asw67EMisjpAs9dP9Jzv9CgeHkd8459iWjp5DsHewEUPRzhB,149932.000000,QWAmF8gcSVF1KETMEftp3PN74ZtwXtN3gkzbABNayCoyvMpzB,15,6,"""000001""",N/A,N/A,N/A
qHyrkf1FR2uY2sxnXkNTjUf6xtFhGn2vSusMTf97jHzrM1ACr,149931.000000,25asw67EMisjpAs9dP9Jzv9CgeHkd8459iWjp5DsHewEUPRzhB,31,6,"""000000""",N/A,N/A,N/A
2ZtaycUqSwwj4XwskMbyamLRLnBV5dWqcxuFxC1fdgx6iRDDMg,149930.000000,qHyrkf1FR2uY2sxnXkNTjUf6xtFhGn2vSusMTf97jHzrM1ACr,15,6,"""000001""",N/A,N/A,N/A
2aQioy9y3RgHhcfnfe6yaodJgc5DzwyhUzu54eBGgJ9G2Judp1,149929.000000,2ZtaycUqSwwj4XwskMbyamLRLnBV5dWqcxuFxC1fdgx6iRDDMg,31,6,"""000000""",N/A,N/A,N/A
eaND28Tpp8XrVGLUkmbnE84KypYK1GSnUV6sVxod6JFJPdhos,149928.000000,2aQioy9y3RgHhcfnfe6yaodJgc5DzwyhUzu54eBGgJ9G2Judp1,15,6,"""000001""",N/A,N/A,N/A
rm9xsNA94Ar6F3bDPccMyf8taopVKnTtzTVoiEuvxW6fyUWFq,149927.000000,eaND28Tpp8XrVGLUkmbnE84KypYK1GSnUV6sVxod6JFJPdhos,31,6,"""000000""",N/A,N/A,N/A
KWA9ZH2DFtdtcD33Q2ZDXicKDbZMgrmSLzWsSVKWA4XuKii5s,149926.000000,rm9xsNA94Ar6F3bDPccMyf8taopVKnTtzTVoiEuvxW6fyUWFq,15,6,"""000001""",N/A,N/A,N/A
2qKKWxK1AnzvJGKpTrxwskbWaaNzm52SoA4ZPsCrSBQDHaGkyo,149925.000000,KWA9ZH2DFtdtcD33Q2ZDXicKDbZMgrmSLzWsSVKWA4XuKii5s,31,6,"""000000""",N/A,N/A,N/A
HjuqKhojtpoPFpYD8Zo6zKHMgksn9YegXeFxKtnFz2JTXxy3M,149924.000000,2qKKWxK1AnzvJGKpTrxwskbWaaNzm52SoA4ZPsCrSBQDHaGkyo,15,6,"""000001""",N/A,N/A,N/A
2Rs64pf618nKNLQaEhvWCxRZYXLA2pKZVqLM3hE6vGhX5FXZcH,149923.000000,HjuqKhojtpoPFpYD8Zo6zKHMgksn9YegXeFxKtnFz2JTXxy3M,31,6,"""000000""",N/A,N/A,N/A
LQGH7c8M7utstkcyQ8PYC4mA2fs99cFqz1J8Hp8t1fkDZQXFg,149922.000000,2Rs64pf618nKNLQaEhvWCxRZYXLA2pKZVqLM3hE6vGhX5FXZcH,15,6,"""000001""",N/A,N/A,N/A
2qSPdurAzaZAvVEEV4FSMApGdALRgp5fqJ93ftPHLnSxFgvNGf,149921.000000,LQGH7c8M7utstkcyQ8PYC4mA2fs99cFqz1J8Hp8t1fkDZQXFg,31,6,"""000000""",N/A,N/A,N/A
ts5oUWJEhuGcD7uvZuaT35ZYMf6AveYRZXujz2tL5RXoLmSQc,149920.000000,2qSPdurAzaZAvVEEV4FSMApGdALRgp5fqJ93ftPHLnSxFgvNGf,15,6,"""000001""",N/A,N/A,N/A
2koAQKQzAPMfPfo6Gwnn5JysAqc2f8carJJt8LJFTJVHjN1tCu,149919.000000,ts5oUWJEhuGcD7uvZuaT35ZYMf6AveYRZXujz2tL5RXoLmSQc,31,6,"""000000""",N/A,N/A,N/A
xTU4L7uFrPdcw9KzmUyqoiXDUpX39UygVifyUkfSK9L1RALG4,149918.000000,2koAQKQzAPMfPfo6Gwnn5JysAqc2f8carJJt8LJFTJVHjN1tCu,15,6,"""000001""",N/A,N/A,N/A
2DnzzrG3jzKuqFZpNUkPMba4iFtommTCBaVSaL1feQofvKpKyM,149917.000000,xTU4L7uFrPdcw9KzmUyqoiXDUpX39UygVifyUkfSK9L1RALG4,31,6,"""000000""",N/A,N/A,N/A
U5q9QoJpmGJiVaCNWLcG3Gn3ZFHYNyxGK2AWG2hBtNwJLVKA8,149916.000000,2DnzzrG3jzKuqFZpNUkPMba4iFtommTCBaVSaL1feQofvKpKyM,15,6,"""000001""",N/A,N/A,N/A
tjLHaxoxZnuoTReZUZrmyc6efinZHqCzACCSpjkH1hSwBGQGF,149915.000000,U5q9QoJpmGJiVaCNWLcG3Gn3ZFHYNyxGK2AWG2hBtNwJLVKA8,31,6,"""000000""",N/A,N/A,N/A
28cE6uMmHPDLyjM8AxppZ2Caor22HB34KWeMpcYaQ6QHfVTsxT,149914.000000,tjLHaxoxZnuoTReZUZrmyc6efinZHqCzACCSpjkH1hSwBGQGF,15,6,"""000001""",N/A,N/A,N/A
22AGo9FGe4Li6LMGVRC4KMFzFDPJFTbje3uTYb8Tqcqo7XmZzW,149913.000000,28cE6uMmHPDLyjM8AxppZ2Caor22HB34KWeMpcYaQ6QHfVTsxT,31,6,"""000000""",N/A,N/A,N/A
2vxSaafWpGE23V7D1nUDAboctJhHrey1MA6Z7qsTQoVxcV6fpR,149912.000000,22AGo9FGe4Li6LMGVRC4KMFzFDPJFTbje3uTYb8Tqcqo7XmZzW,15,6,"""000001""",N/A,N/A,N/A
uAHHudXyAp2TuaGvGMmj5AdQrUZXKhzfdsYLWDdK2r9ACPVKK,149911.000000,2vxSaafWpGE23V7D1nUDAboctJhHrey1MA6Z7qsTQoVxcV6fpR,31,6,"""000000""",N/A,N/A,N/A
kzMKvz4HqtLfL842im3KpJANiHKF77KPRcj58T7PfvzwQQCFY,149910.000000,uAHHudXyAp2TuaGvGMmj5AdQrUZXKhzfdsYLWDdK2r9ACPVKK,15,6,"""000001""",N/A,N/A,N/A
VDB1YvVpNxUvfUKSsDZ7rbZ5iVwjQnp53RVB89djuYgcB62Nx,149909.000000,kzMKvz4HqtLfL842im3KpJANiHKF77KPRcj58T7PfvzwQQCFY,31,6,"""000000""",N/A,N/A,N/A
2juNsxGkJJW1RqfG83uoWoWLTNWVa5uAzPQij1q26aE79EUUCP,149908.000000,VDB1YvVpNxUvfUKSsDZ7rbZ5iVwjQnp53RVB89djuYgcB62Nx,15,6,"""000001""",N/A,N/A,N/A
29rMvdoiABS7Z2oqkzbUCWRZGEX4dNssWkHjDgpqHCtwEh4N8u,149907.000000,2juNsxGkJJW1RqfG83uoWoWLTNWVa5uAzPQij1q26aE79EUUCP,31,6,"""000000""",N/A,N/A,N/A
8V8RQMrovAmw73qc6NZJbBDdB3zuQKoAB75syBaCvZRmoXEnU,149906.000000,29rMvdoiABS7Z2oqkzbUCWRZGEX4dNssWkHjDgpqHCtwEh4N8u,15,6,"""000001""",N/A,N/A,N/A
mVnw8hKC225W1f2YraSau9Rz5tZB6vhxpDkd6VVqPoJ69bvDA,149905.000000,8V8RQMrovAmw73qc6NZJbBDdB3zuQKoAB75syBaCvZRmoXEnU,31,6,"""000000""",N/A,N/A,N/A
2SJhrHLRZHJTpQvsSLeYhNCpHd6Jod4SNivsp73Z2ZfLaBqiDa,149904.000000,mVnw8hKC225W1f2YraSau9Rz5tZB6vhxpDkd6VVqPoJ69bvDA,15,6,"""000001""",N/A,N/A,N/A
2RBRze6ZsozfmZVACgvvEkokFJg38YfqjgFPisGfL7kpWo5F1w,149903.000000,2SJhrHLRZHJTpQvsSLeYhNCpHd6Jod4SNivsp73Z2ZfLaBqiDa,31,6,"""000000""",N/A,N/A,N/A
DNvWyDc1XzFBpPKPrRo2UDxTYnb3UWEoXSZ3xvwHQZyiY9K2m,149902.000000,2RBRze6ZsozfmZVACgvvEkokFJg38YfqjgFPisGfL7kpWo5F1w,15,6,"""000001""",N/A,N/A,N/A
xmurba4S1MnJVhRA6AbdHPPJs2rRSL6mFeFGbprFqjK4sGC43,149901.000000,DNvWyDc1XzFBpPKPrRo2UDxTYnb3UWEoXSZ3xvwHQZyiY9K2m,31,6,"""000000""",N/A,N/A,N/A
yWKweW2nqqRe18nEKUDFssQXqAcuSgFbDgYB67sR3wWMtonuW,149900.000000,xmurba4S1MnJVhRA6AbdHPPJs2rRSL6mFeFGbprFqjK4sGC43,15,6,"""000001""",N/A,N/A,N/A
TKLQufbEaGQCxsMbQNpigdk9iN3ufVYbyJYNzrd745NmhXEao,149899.000000,yWKweW2nqqRe18nEKUDFssQXqAcuSgFbDgYB67sR3wWMtonuW,31,6,"""000000""",N/A,N/A,N/A
2RAKPPQzaUfjWJWhJHMfLKinaCzqvjgrRS8zg4Ezx4wibDxUVx,149898.000000,TKLQufbEaGQCxsMbQNpigdk9iN3ufVYbyJYNzrd745NmhXEao,15,6,"""000001""",N/A,N/A,N/A
u3ixmzoxM9fRzg3DTr2yYiHi7LFcs9qbAbZr8SxzpwH8qXM4E,149897.000000,2RAKPPQzaUfjWJWhJHMfLKinaCzqvjgrRS8zg4Ezx4wibDxUVx,31,6,"""000000""",N/A,N/A,N/A
2GC6V3hDZ3XpySBNJeC9qZdV3X5Z2FSbGj57uXyP5LpXjhVZcG,149896.000000,u3ixmzoxM9fRzg3DTr2yYiHi7LFcs9qbAbZr8SxzpwH8qXM4E,15,6,"""000002""",N/A,N/A,N/A
2svuASNUEHRNeQF1HJZY2cCDVSUGqgJZhhJsDRno7i1VehmD68,149895.000000,2GC6V3hDZ3XpySBNJeC9qZdV3X5Z2FSbGj57uXyP5LpXjhVZcG,404,6,"""000000""",source,2oYMBNV4eNHyqk2fjjV5nVQLDbtmNJzq5s3qs3Lo6ftnC6FByM,Imported Inputs
2EG6up4hKV8FgX2P1ATj7NJBKXhsY3Zmmnc8K35M3mn5NYXYyT,149894.000000,2svuASNUEHRNeQF1HJZY2cCDVSUGqgJZhhJsDRno7i1VehmD68,352,6,"""000004""",N/A,N/A,N/A
2nXFWb35bbDWzVmi2wsYvRMEgoopfRwnYr6wPuRRGGvdAFHANC,149893.000000,2EG6up4hKV8FgX2P1ATj7NJBKXhsY3Zmmnc8K35M3mn5NYXYyT,15,6,"""000002""",N/A,N/A,N/A
r5cJCwPR7odmK25Z9eoENih3kHADA4fdUPFud1rgYkxcU8cAG,149892.000000,2nXFWb35bbDWzVmi2wsYvRMEgoopfRwnYr6wPuRRGGvdAFHANC,55,6,"""000000""",N/A,N/A,N/A
SCpJtCdeuQ9G7ciT46hUzm8mgvAn67CJTgmHnSmW9EE1jgjRZ,149891.000000,r5cJCwPR7odmK25Z9eoENih3kHADA4fdUPFud1rgYkxcU8cAG,15,6,"""000002""",N/A,N/A,N/A
